trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
119.31469,0.0,119.31469,119.31469,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,103.25645160675049,0.11056874,-2423.5024
413.9418,0.0,413.9418,413.9418,501.0,106.17802,32.967976,151.49292,50.06572,501.0,10020,0.0,0.0,1080.7791113853455,0.13070844,-2423.5024
668.32434,0.0,668.32434,668.32434,501.0,427.41278,35.308224,471.98187,371.25345,501.0,15030,0.0,0.0,2050.2739951610565,0.1475994,-2423.5024
964.16077,0.0,964.16077,964.16077,501.0,641.5885,37.914925,699.4469,591.2395,501.0,20040,0.0,0.0,3006.7260649204254,0.1356998,-2423.5024
919.85767,0.0,919.85767,919.85767,501.0,976.5055,56.14139,1078.9249,911.44543,501.0,25050,0.0,0.0,3980.304610490799,0.12634607,-2423.5024
