trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-635.4307,29.797607,-605.6331,-665.22833,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,55.27781534194946,0.23505469,-1853.2247
-420.48297,12.1948395,-408.28815,-432.67783,201.0,-691.9465,99.256325,-582.3273,-814.7019,201.0,20904,0.0,0.0,185.29746055603027,0.20453219,-1853.2247
-397.87714,35.652985,-362.22415,-433.53012,201.0,-409.79565,32.4759,-368.60602,-459.5364,201.0,21708,0.0,0.0,319.82552433013916,0.19326486,-1853.2247
-342.9559,27.429749,-315.52615,-370.38565,201.0,-383.8322,51.4205,-342.0993,-471.2633,201.0,22512,0.0,0.0,447.85237431526184,0.19557406,-1853.2247
-360.26917,7.237091,-353.03207,-367.50626,201.0,-360.05533,15.933305,-341.5627,-381.35303,201.0,23316,0.0,0.0,575.4899978637695,0.18753982,-1853.2247
-356.95312,4.5161743,-352.43695,-361.4693,201.0,-367.87738,25.826233,-350.08145,-412.454,201.0,24120,0.0,0.0,701.9021553993225,0.18116339,-1853.2247
-355.8314,14.968536,-340.86285,-370.79993,201.0,-397.65894,29.616823,-354.25543,-427.21573,201.0,24924,0.0,0.0,827.9952495098114,0.18302011,-1853.2247
-321.00946,23.01814,-297.99133,-344.02762,201.0,-346.3927,24.332588,-321.65674,-377.08563,201.0,25728,0.0,0.0,953.7687454223633,0.18359725,-1853.2247
-370.8286,21.716827,-349.1118,-392.54544,201.0,-347.35693,26.48178,-302.97653,-372.2595,201.0,26532,0.0,0.0,1081.0829129219055,0.18169625,-1853.2247
-340.03796,5.831863,-334.20612,-345.86984,201.0,-350.26398,34.104862,-291.78207,-377.60153,201.0,27336,0.0,0.0,1206.1450591087341,0.18134277,-1853.2247
-351.19467,11.617615,-339.57706,-362.8123,201.0,-351.78925,8.258042,-338.38074,-360.46872,201.0,28140,0.0,0.0,1335.0434174537659,0.17820513,-1853.2247
-338.69952,32.004074,-306.69543,-370.70358,201.0,-333.4309,20.913973,-303.9088,-353.32248,201.0,28944,0.0,0.0,1459.6612429618835,0.17997532,-1853.2247
-306.23474,9.993362,-296.2414,-316.22812,201.0,-324.73062,12.931763,-311.3183,-343.2637,201.0,29748,0.0,0.0,1582.899736404419,0.17858128,-1853.2247
-316.85602,4.687851,-312.16818,-321.54388,201.0,-353.6728,26.260382,-316.1315,-383.58246,201.0,30552,0.0,0.0,1709.0951051712036,0.18482286,-1853.2247
-336.50702,5.3296967,-331.1773,-341.8367,201.0,-366.51257,20.47155,-331.80322,-384.88593,201.0,31356,0.0,0.0,1837.480765581131,0.18356468,-1853.2247
