trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
35.253204,0.0,35.253204,35.253204,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,36.31096649169922,0.11056874,-2423.5024
120.10129,0.0,120.10129,120.10129,501.0,20.805195,33.776703,107.78268,-22.319485,501.0,10020,0.0,0.0,292.3364214897156,0.09978042,-2423.5024
141.34026,0.0,141.34026,141.34026,501.0,132.08812,23.955986,167.18698,98.300446,501.0,15030,0.0,0.0,551.4137842655182,0.11119587,-2423.5024
196.64966,0.0,196.64966,196.64966,501.0,218.2168,33.410393,286.0562,186.06503,501.0,20040,0.0,0.0,809.3822529315948,0.112205036,-2423.5024
178.65799,0.0,178.65799,178.65799,501.0,215.2832,30.48364,256.4559,166.76657,501.0,25050,0.0,0.0,1072.6174592971802,0.114112735,-2423.5024
