trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
119.31469,0.0,119.31469,119.31469,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,121.05776858329773,0.11056874,-2423.5024
468.5785,0.0,468.5785,468.5785,501.0,106.916466,33.795063,151.49292,50.06572,501.0,10020,0.0,0.0,1187.3020782470703,0.13029064,-2423.5024
609.69867,0.0,609.69867,609.69867,501.0,417.0432,19.851776,447.7755,376.4099,501.0,15030,0.0,0.0,2243.879634618759,0.14481144,-2423.5024
816.58295,0.0,816.58295,816.58295,501.0,568.2608,40.029354,654.0187,492.46582,501.0,20040,0.0,0.0,3325.740971326828,0.13393313,-2423.5024
836.8126,0.0,836.8126,836.8126,501.0,828.20197,40.89975,901.6188,766.11694,501.0,25050,0.0,0.0,4396.418035984039,0.13173139,-2423.5024
