trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-651.685,25.582825,-626.1022,-677.2678,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,39.09794473648071,0.23578644,-1853.2247
-340.12225,31.26715,-308.8551,-371.3894,201.0,-629.7927,159.2525,-373.71854,-775.24805,201.0,20904,0.0,0.0,108.51507139205933,0.20020847,-1853.2247
-281.35663,1.2997131,-280.05692,-282.65634,201.0,-403.39407,124.484474,-310.4815,-617.74774,201.0,21708,0.0,0.0,176.41285634040833,0.19361058,-1853.2247
-282.41714,11.02533,-271.3918,-293.44247,201.0,-336.0813,64.82352,-287.90192,-447.53406,201.0,22512,0.0,0.0,243.8159954547882,0.18668225,-1853.2247
-298.0412,13.43042,-284.61078,-311.47162,201.0,-301.68158,14.617503,-286.45407,-323.3676,201.0,23316,0.0,0.0,314.15290570259094,0.18688205,-1853.2247
-276.82202,3.786209,-273.03583,-280.60825,201.0,-292.29294,7.723529,-279.73438,-300.78494,201.0,24120,0.0,0.0,382.3843152523041,0.18413317,-1853.2247
-291.1259,4.485321,-286.64056,-295.6112,201.0,-287.76166,17.646194,-266.102,-315.14,201.0,24924,0.0,0.0,451.10255694389343,0.18753533,-1853.2247
-258.2997,29.442757,-228.85695,-287.74246,201.0,-272.1742,21.489687,-245.32425,-305.11172,201.0,25728,0.0,0.0,521.5429058074951,0.18505938,-1853.2247
-257.35464,3.0786438,-254.276,-260.4333,201.0,-283.32513,14.031154,-261.8637,-300.71484,201.0,26532,0.0,0.0,590.5556240081787,0.1850773,-1853.2247
-271.76584,7.5629272,-264.2029,-279.32877,201.0,-276.7293,21.012686,-241.24237,-294.48724,201.0,27336,0.0,0.0,662.2295429706573,0.17629685,-1853.2247
-281.30298,25.282883,-256.0201,-306.58588,201.0,-252.60654,5.203839,-243.93764,-257.76465,201.0,28140,0.0,0.0,731.4237267971039,0.17630163,-1853.2247
-280.08185,13.358978,-266.72287,-293.44083,201.0,-267.20453,6.048308,-258.5906,-275.50638,201.0,28944,0.0,0.0,802.0041253566742,0.18325618,-1853.2247
-288.4849,5.786377,-282.69852,-294.27127,201.0,-251.94882,12.000747,-238.01909,-270.39734,201.0,29748,0.0,0.0,873.206285238266,0.17757067,-1853.2247
-260.65738,13.888283,-246.76909,-274.54565,201.0,-258.3473,11.248589,-242.08972,-272.71625,201.0,30552,0.0,0.0,942.7149810791016,0.17214236,-1853.2247
-252.5078,6.0180206,-246.48978,-258.52582,201.0,-253.54037,11.78396,-239.7207,-271.30133,201.0,31356,0.0,0.0,1011.843523979187,0.17527045,-1853.2247
