trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-866.056,110.82886,-755.2272,-976.8849,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,19.96583843231201,0.23505469,-1853.2247
-399.07074,6.3055725,-392.76517,-405.3763,201.0,-665.4662,113.59977,-479.49536,-767.8242,201.0,20904,0.0,0.0,46.047131061553955,0.19873373,-1853.2247
-328.02307,22.345459,-305.6776,-350.36853,201.0,-407.80304,62.427265,-363.3498,-514.6212,201.0,21708,0.0,0.0,71.9985363483429,0.19421495,-1853.2247
-346.43195,43.608658,-302.8233,-390.04062,201.0,-348.63586,20.377459,-317.58063,-369.75058,201.0,22512,0.0,0.0,98.13584613800049,0.19267718,-1853.2247
-297.41412,10.004608,-287.40952,-307.41873,201.0,-341.7452,21.377079,-304.9619,-357.47983,201.0,23316,0.0,0.0,123.916428565979,0.18561818,-1853.2247
-310.4686,11.551544,-298.91705,-322.02014,201.0,-345.4805,14.93128,-336.20148,-371.31604,201.0,24120,0.0,0.0,149.865620136261,0.18764411,-1853.2247
-333.24878,25.508072,-307.7407,-358.75684,201.0,-314.81512,10.553745,-304.51544,-331.70697,201.0,24924,0.0,0.0,175.82177209854126,0.1902241,-1853.2247
-313.9937,16.932907,-297.0608,-330.9266,201.0,-288.15015,9.7884245,-278.64633,-303.57858,201.0,25728,0.0,0.0,201.55225563049316,0.18253402,-1853.2247
-278.38998,12.138153,-266.25183,-290.52814,201.0,-320.31766,45.294823,-270.09863,-372.37167,201.0,26532,0.0,0.0,227.4862608909607,0.18620932,-1853.2247
-287.56232,1.2151947,-286.3471,-288.7775,201.0,-299.1485,19.599415,-265.63156,-315.0909,201.0,27336,0.0,0.0,254.7740457057953,0.188538,-1853.2247
-273.6732,25.958733,-247.71446,-299.63193,201.0,-293.23712,11.177887,-276.27612,-305.62872,201.0,28140,0.0,0.0,283.0923147201538,0.18177362,-1853.2247
-306.2605,24.704483,-281.55603,-330.965,201.0,-302.47308,14.015234,-285.59308,-323.08908,201.0,28944,0.0,0.0,308.9304950237274,0.17973144,-1853.2247
-335.26257,6.9429626,-328.3196,-342.20554,201.0,-315.78967,18.016415,-292.93954,-342.75568,201.0,29748,0.0,0.0,335.1838448047638,0.17642479,-1853.2247
-307.8129,8.461517,-299.35138,-316.2744,201.0,-287.99515,20.556343,-263.17172,-310.46945,201.0,30552,0.0,0.0,361.46190190315247,0.17833817,-1853.2247
-330.95648,38.323227,-292.63324,-369.2797,201.0,-301.49466,18.882387,-279.91147,-331.7489,201.0,31356,0.0,0.0,388.7402744293213,0.1751852,-1853.2247
