trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-1129.7808,17.14331,-1112.6375,-1146.9241,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,18.624934911727905,0.23505469,-1853.2247
-354.52533,26.95619,-327.56912,-381.4815,201.0,-942.3291,372.0601,-572.547,-1461.623,201.0,20904,0.0,0.0,42.04013752937317,0.20534551,-1853.2247
-432.1861,112.30119,-319.88492,-544.4873,201.0,-350.93503,33.433155,-306.76437,-397.83054,201.0,21708,0.0,0.0,65.63700842857361,0.18933542,-1853.2247
-317.98138,46.33728,-271.6441,-364.31866,201.0,-349.56714,23.420229,-318.3097,-383.29437,201.0,22512,0.0,0.0,89.29428577423096,0.18806307,-1853.2247
-347.1451,62.272034,-284.87308,-409.41714,201.0,-274.7721,20.742048,-251.6779,-299.70502,201.0,23316,0.0,0.0,112.75306749343872,0.18899375,-1853.2247
-298.55286,53.549927,-245.00293,-352.10278,201.0,-315.16434,26.978607,-282.26544,-354.1672,201.0,24120,0.0,0.0,136.24720072746277,0.18793933,-1853.2247
-244.89973,0.32009888,-244.57964,-245.21983,201.0,-419.06488,73.539536,-306.075,-512.12445,201.0,24924,0.0,0.0,159.6573839187622,0.18993092,-1853.2247
-345.6709,5.9522095,-339.7187,-351.6231,201.0,-251.98032,8.380735,-238.12527,-260.41287,201.0,25728,0.0,0.0,183.56539726257324,0.18603832,-1853.2247
-298.9037,15.573532,-283.33017,-314.47723,201.0,-314.1551,18.118916,-295.22302,-335.54868,201.0,26532,0.0,0.0,207.5740087032318,0.17634802,-1853.2247
-294.95923,61.322792,-233.63643,-356.282,201.0,-298.85065,34.716274,-247.367,-342.64462,201.0,27336,0.0,0.0,231.5085096359253,0.1824779,-1853.2247
-283.62402,6.4995728,-277.12445,-290.1236,201.0,-267.4852,32.560455,-229.67497,-316.38193,201.0,28140,0.0,0.0,254.82684993743896,0.17287643,-1853.2247
-282.54324,52.8519,-229.69135,-335.39514,201.0,-270.8408,29.171423,-231.89122,-300.96033,201.0,28944,0.0,0.0,277.9013481140137,0.18162556,-1853.2247
-272.46207,26.099571,-246.3625,-298.56165,201.0,-269.2556,7.8289304,-260.66693,-280.82938,201.0,29748,0.0,0.0,301.5525414943695,0.17944057,-1853.2247
-297.82367,7.9763336,-289.84735,-305.80002,201.0,-260.38937,43.403263,-226.96745,-334.81943,201.0,30552,0.0,0.0,325.035040140152,0.18106222,-1853.2247
-251.59575,14.924942,-236.6708,-266.5207,201.0,-265.80624,21.092567,-235.79164,-288.62302,201.0,31356,0.0,0.0,349.10262799263,0.17887582,-1853.2247
