trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-10772.249,0.0,-10772.249,-10772.249,501.0,-2426.4355,418.34644,-1418.4021,-3312.8218,501.0,20040,0.0,0.0,23.777334928512573,1.0122377,-2426.4355
-8865.781,0.0,-8865.781,-8865.781,501.0,-10262.214,1291.4255,-8088.4395,-13707.428,501.0,28056,0.0,0.0,232.46370553970337,0.95449156,-2426.4355
-13828.985,0.0,-13828.985,-13828.985,501.0,-9932.518,1209.6237,-8357.568,-13771.071,501.0,36072,0.0,0.0,440.44552779197693,0.9146357,-2426.4355
-7753.5713,0.0,-7753.5713,-7753.5713,501.0,-8739.951,794.6111,-7207.0146,-10284.484,501.0,44088,0.0,0.0,645.0826287269592,0.88964844,-2426.4355
-6051.9375,0.0,-6051.9375,-6051.9375,501.0,-7805.172,1528.3147,-6373.3516,-13333.754,501.0,52104,0.0,0.0,850.6097683906555,0.8331103,-2426.4355
