trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-64.5849,0.0,-64.5849,-64.5849,501.0,-2426.4355,418.34644,-1418.4021,-3312.8218,501.0,20040,0.0,0.0,29.81547784805298,0.13106705,-2426.4355
-27.115276,0.0,-27.115276,-27.115276,501.0,-44.804623,34.893497,24.853395,-112.52335,501.0,28056,0.0,0.0,286.73313546180725,0.11470076,-2426.4355
-36.78241,0.0,-36.78241,-36.78241,501.0,-30.150417,23.283127,9.909428,-85.69903,501.0,36072,0.0,0.0,541.9922738075256,0.10042127,-2426.4355
18.42286,0.0,18.42286,18.42286,501.0,6.50463,31.28388,58.75249,-80.61432,501.0,44088,0.0,0.0,797.9337899684906,0.094717175,-2426.4355
11.865242,0.0,11.865242,11.865242,501.0,47.121147,32.448196,79.3416,-17.979397,501.0,52104,0.0,0.0,1056.8512132167816,0.09615361,-2426.4355
